Title,Intervention,Health condition
Use of lidocaine-prilocaine cream for vaccination pain in infants,Anaesthetic,Vaccination adverse effects
Effect of lidocaine-prilocaine cream (EMLA (R)) on pain of intramuscular Fluzone (R) injection,Anaesthetic,Vaccination adverse effects
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],Analgesic / antipyretic,ARI non-specific
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],Analgesic / antipyretic,ARI non-specific
A comparison between aspirin and Antibiotic in the treatment of minor respiratory infections,Analgesic / antipyretic,ARI non-specific
Comparison between aspirin and Antibiotic in minor respiratory infections [letter],Analgesic / antipyretic,ARI non-specific
Effects of acetylsalicylic acid on sore throat pain and other pain symptoms associated with acute upper respiratory tract infection,Analgesic / antipyretic,ARI non-specific
A double-blind clinical evaluation of suprofen on acute upper respiratory infection. Comparison with aspirin. [Japanese],Analgesic / antipyretic,ARI non-specific
[A double-blind study to evaluate therapeutic efficiency of sodium + paracetamol vs dipirone in respiratory disease],Analgesic / antipyretic,ARI non-specific
Treatment of bronchial inflammatory disorders with guacetisal. [Italian],Analgesic / antipyretic,Bronchiolitis
"Adverse effects of aspirin, acetaminophen, and ibuprofen on immune function, viral shedding, and clinical status in rhinovirus-infected volunteers",Analgesic / antipyretic,Common cold
Immune modulation by aspirin during experimental rhinovirus colds,Analgesic / antipyretic,Common cold
"Clinical, double-blind, placebo-controlled study investigating the combination of acetylsalicylic acid and pseudoephedrine for the symptomatic treatment of nasal congestion associated with common cold",Analgesic / antipyretic,Common cold
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,Analgesic / antipyretic,Common cold
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",Analgesic / antipyretic,Common cold
Assessment of the antitussive efficacy of codeine in cough associated with common cold,Analgesic / antipyretic,Common cold
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,Analgesic / antipyretic,Common cold
Clinical trial examining effectiveness of three cough syrups. [see comments.],Analgesic / antipyretic,Cough
Assessment of the antitussive efficacy of codeine in cough associated with common cold,Analgesic / antipyretic,Cough
Efficacy of cough suppressants in children. [see comments.],Analgesic / antipyretic,Cough
Dextromethorphan and codeine: comparison of plasma kinetics and antitussive effects,Analgesic / antipyretic,Cough
Treatment of influenza syndrome: A double-blind controlled trial of nimesulide v. aspirin,Analgesic / antipyretic,Influenza
Efficacy of Auralgan for treating ear pain in children with acute otitis media. [see comments.],Analgesic / antipyretic,Otitis media
Acute otitis media: a new treatment strategy,Analgesic / antipyretic,Otitis media
"Alternative versus conventional treatment strategy in uncomplicated acute otitis media in children: a prospective, open, controlled parallel-group comparison",Analgesic / antipyretic,Otitis media
Sore throat pain in the evaluation of mild analgesics,Analgesic / antipyretic,Pharyngitis / sore throat
Effects of acetylsalicylic acid on sore throat pain and other pain symptoms associated with acute upper respiratory tract infection,Analgesic / antipyretic,Pharyngitis / sore throat
Streptococcal pharyngitis in the general population. I. A controlled study of streptococcal pharyngitis and its complications in the Netherlands,Analgesic / antipyretic,Pharyngitis / sore throat
"Tolerability of ibuprofen, aspirin and paracetamol for the treatment of cold and flu symptoms and sore throat pain",Analgesic / antipyretic,Pharyngitis / sore throat
Caffeine as an analgesic adjuvant. A double-blind study comparing aspirin with caffeine to aspirin and placebo in patients with sore throat,Analgesic / antipyretic,Pharyngitis / sore throat
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,Analgesic / antipyretic,Sinusitis
Comparative effectiveness of three oral medications in sinusitis and rhinitis: a double-blind study,Analgesic / antipyretic,Sinusitis
[A study of spontaneous cure of sinusitis (author's transl)]. [German],Analgesic / antipyretic,Sinusitis
Nosocomial pneumonia in intubated patients given sucralfate as compared with antacids or histamine type 2 blockers. The role of gastric colonization,Antacid,Pneumonia
Risk of acute stress bleeding and nosocomial pneumonia in ventilated intensive care unit patients: sucralfate versus antacids,Antacid,Pneumonia
Pneumonia associated to mechanical ventilation and prophylaxis of stress gastric ulcer. Randomized clinical trial of antiacids and ranitidine versus sucralfate,Antacid,Pneumonia
[Mechanical ventilation-associated pneumonia and the prevention of stress ulcer. A randomized clinical trial of antacids and ranitidine versus sucralfate]. [Spanish],Antacid,Pneumonia
"A double-blind comparative study of ampicillin, co-trimoxazole and josamycin in anthraco-silicotic miners, assessed by transtracheal puncture",Antibiotic vs antibiotic,Anthracosiliosis
[Cefaclor versus penicillin V in staphylococcal infections in children]. [French],Antibiotic vs antibiotic,ARI non-specific
"Clinical trial, comparative between amoxycillin/clavulanic acid versus cefaclor in the treatment of respiratory tract infections",Antibiotic vs antibiotic,ARI non-specific
A comparative study of the efficacy and safety of azlocillin and gentamicin in the treatment of serious infections,Antibiotic vs antibiotic,ARI non-specific
[Double-blind comparison of cefamandole and cefazolin in the therapy of respiratory tract infections (author's transl)]. [Japanese],Antibiotic vs antibiotic,ARI non-specific
Randomized clinical trial of aztreonam and aminoglycoside Antibiotic in the treatment of serious infections caused by gram-negative bacilli,Antibiotic vs antibiotic,ARI non-specific
[Comparative study of the effectiveness of mezlocillin and ampicillin on respiratory tract infection (author's transl]. [Japanese],Antibiotic vs antibiotic,ARI non-specific
[Double-blind clinical study on cefotetan and cefmetazole in treating respiratory tract infections]. [Japanese],Antibiotic vs antibiotic,ARI non-specific
Linezolid versus vancomycin in the treatment of known or suspected resistant gram-positive infections in neonates,Antibiotic vs antibiotic,ARI non-specific
[Bacampicillin v. amoxicillin in respiratory pathology],Antibiotic vs antibiotic,ARI non-specific
A comparison of Bracen and ampicillin in the treatment of acute respiratory tract infections in children,Antibiotic vs antibiotic,ARI non-specific
Safety and efficacy of cefixime versus cefaclor in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Intravenous/oral ciprofloxacin versus ceftazidime in the treatment of serious infections,Antibiotic vs antibiotic,ARI non-specific
Comparison of oral erythromycin ethylsuccinate and ciprofloxacin in the treatment of acute respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Timentin versus piperacillin or moxalactam in the therapy of acute bacterial infections,Antibiotic vs antibiotic,ARI non-specific
Comparative studies on the effectiveness of T-1982 and that of cefmetazole in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Multicenter randomized study of two once daily regimens in the initial management of community-acquired respiratory tract infections in 163 children: azithromycin versus ceftibuten,Antibiotic vs antibiotic,ARI non-specific
Efficacy and safety of ciprofloxacin in patients with respiratory infections in comparison with amoxycillin,Antibiotic vs antibiotic,ARI non-specific
Double-blind clinical trials of oral cyclacillin and ampicillin,Antibiotic vs antibiotic,ARI non-specific
Prospective randomized trial of piperacillin monotherapy versus carboxypenicillin-aminoglycoside combination regimens in the empirical treatment of serious bacterial infections,Antibiotic vs antibiotic,ARI non-specific
A therapeutic trial of cefotaxime versus penicillin-gentamicin for severe infections in children,Antibiotic vs antibiotic,ARI non-specific
Treatment of acute bacterial exacerbations of chronic obstructive pulmonary disease in hospitalised patients--a comparison of meropenem and imipenem/cilastatin. COPD Study Group,Antibiotic vs antibiotic,ARI non-specific
Comparative clinical trial of HBK and amikacin (AMK) in the treatment of respiratory infections. [Japanese],Antibiotic vs antibiotic,ARI non-specific
International comparative study of cefepime and ceftazidime in the treatment of serious bacterial infections,Antibiotic vs antibiotic,ARI non-specific
Treatment of infections in hospitalized patients with ticarcillin plus clavulanic acid. A comparative study,Antibiotic vs antibiotic,ARI non-specific
"A comparative trial of ampicillin, tetracycline and a combination of trimethoprim and sulphamethoxazole in the treatment of respiratory infections",Antibiotic vs antibiotic,ARI non-specific
Comparative study on cefprozil and cefaclor in the treatment of respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
[Therapeutic effects of cefepime and sulbactam/cefoperazone on moderate and severe respiratory tract infection in children],Antibiotic vs antibiotic,ARI non-specific
"[Acute infectious exacerbations in chronic obstructive lung disease and effects of azithromycine, sultamycilline, ciprofloxacin and cefaclor monohydrate]",Antibiotic vs antibiotic,ARI non-specific
A comparative study of talampicillin and ampicillin in general practice,Antibiotic vs antibiotic,ARI non-specific
Comparative study of cefaclor and amoxycillin in the treatment of respiratory tract infections in general practice,Antibiotic vs antibiotic,ARI non-specific
Trimethoprim and co-trimoxazole: a comparison of their use in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
"Double-blind, prospective, multicenter trial comparing ceftazidime with moxalactam in the treatment of serious gram-negative infections",Antibiotic vs antibiotic,ARI non-specific
Comparative study of TMS-19-Q and midecamycin for respiratory tract infection by double-blind method [Japanese],Antibiotic vs antibiotic,ARI non-specific
A comparison of cefaclor and ampicillin in the treatment of respiratory infection in elderly in-patients,Antibiotic vs antibiotic,ARI non-specific
A comparative study of gentamicin and netilmicin in the treatment of gram-negative infections,Antibiotic vs antibiotic,ARI non-specific
A randomized control study on the treatment of 123 cases of bacterial infections with cefteram and cefaclor,Antibiotic vs antibiotic,ARI non-specific
"Sulbactam/cefoperazone versus cefotaxime for the treatment of moderate-to-severe bacterial infections: results of a randomized, controlled clinical trial",Antibiotic vs antibiotic,ARI non-specific
Roxithromycin versus amoxicillin-clavulanic acid in the treatment of respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
"Double-blind, double-dummy, randomized-controlled clinical trial on erythromycin A cyclic 11,12-carbonate versus roxithromycin",Antibiotic vs antibiotic,ARI non-specific
Double-blind comparative study of co-trimoxazole and co-soltrim in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Comparison of two oral forms of erythromycin in the treatment of acute respiratory tract infections. A multicentre general practice study,Antibiotic vs antibiotic,ARI non-specific
"Doxycycline and minocycline in the treatment of respiratory infections: a double-blind comparative clinical, microbiological and pharmacokinetic study",Antibiotic vs antibiotic,ARI non-specific
Clinical comparative study of azithromycin versus erythromycin in the treatment of acute respiratory tract infections in children,Antibiotic vs antibiotic,ARI non-specific
Clinical evaluation of cefotiam (SCE-963) in pulmonary infections: A comparative study with cefazolin by a randomized double blind technique,Antibiotic vs antibiotic,ARI non-specific
Clinical comparison of piperacillin and cefoxitin in patients with bacteriologically confirmed infections [published erratum appears in Antimicrob Agents Chemother 1986 Dec;30(6):966],Antibiotic vs antibiotic,ARI non-specific
A randomized double blinded comparison of mezlocillin and ticarcillin for the treatment of respiratory infections,Antibiotic vs antibiotic,ARI non-specific
A multicentre general practice study comparing pivampicillin (Pondocillin) and amoxycillin (Amoxil) in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
An open comparative study of azithromycin and roxithromycin in the treatment of acute upper respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Imipenem/cilastatin sodium and other beta-lactams for respiratory tract infections: clinical benefit and treatment days for cure. [Japanese],Antibiotic vs antibiotic,ARI non-specific
A randomized clinical trial comparing the safety and efficacy of cefonicid and cefamandole in the treatment of patients with respiratory tract infections caused by susceptible pathogens,Antibiotic vs antibiotic,ARI non-specific
[Community acquired respiratory infections: Cefuroxime axetil versus amoxicilline/clavulanic acid],Antibiotic vs antibiotic,ARI non-specific
Comparative study of the efficacy of co-trimoxazole and cephalexin in respiratory infections,Antibiotic vs antibiotic,ARI non-specific
Steady-state plasma and bronchopulmonary concentrations of intravenous levofloxacin and azithromycin in healthy adults,Antibiotic vs antibiotic,ARI non-specific
[Bactericidal activity of enoxacin and ciprofloxacin in body fluids]. [German],Antibiotic vs antibiotic,ARI non-specific
Low-dose ciprofloxacin in respiratory tract infections. A randomized comparison with doxycycline in general practice,Antibiotic vs antibiotic,ARI non-specific
Comparative study of doripenem and meropenem in respiratory infections. Phase III double-blind comparative study,Antibiotic vs antibiotic,ARI non-specific
Comparison of sulphadiazine-trimethoprim and sulphamethoxazole-trimethoprim in the treatment of acute respiratory tract infections. Randomized double-blind trial,Antibiotic vs antibiotic,ARI non-specific
Comparison of brodimoprim and doxycycline in acute respiratory tract infections. A double-blind clinical trial,Antibiotic vs antibiotic,ARI non-specific
Comparison of trimethoprim-sulfadiazine and doxycycline in the treatment of acute respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
[Evaluation of Combination Therapy with Aztreonam and Cloxacillin vs. Aztreonum Monotherapy in Respiratory Tract Infection],Antibiotic vs antibiotic,ARI non-specific
[Comparison between cefaclor and acetoxyethylcefuroxime in the treatment of respiratory infections],Antibiotic vs antibiotic,ARI non-specific
Comparison of oral erythromycin ethylsuccinate and clavulanate-potentiated amoxicillin in the treatment of acute respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
A multi-centre general practice comparison of a fixed-dose combination of pivmecillinam plus pivampicillin with amoxycillin in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
[Effects of cefotaxime single administration and of cefotaxime + fosfomycin administration against respiratory tract infections]. [Japanese],Antibiotic vs antibiotic,ARI non-specific
[A comparative study between cefpirome (CPR) and ceftazidime (CAZ) in respiratory tract infections]. [Japanese],Antibiotic vs antibiotic,ARI non-specific
Respiratory infections in general practice: A clinical comparison of Pivmecillinam-plus-pivampicillin (Miraxid) and Cephalexin (Ceporex),Antibiotic vs antibiotic,ARI non-specific
A clinical comparison of pivmecillinam plus pivampicillin (Miraxid) and a triple tetracycline combination (Deteclo) in respiratory infections treated in general practice,Antibiotic vs antibiotic,ARI non-specific
A comparison of the erythromycin estolate and tetracycline in the treatment of respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
A multi-centre general practice clinical evaluation of pivmecillinam plus pivampicillin ('Miraxid') and co-trimoxazole ('Septrin') in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Comparison of doxycycline i.v. with cefotiam in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Comparison of twice-daily cefadroxil with four-times-daily cephalexin in paediatric respiratory infections,Antibiotic vs antibiotic,ARI non-specific
"Controlled, comparative study of ciprofloxacin versus ampicillin in treatment of bacterial respiratory tract infections",Antibiotic vs antibiotic,ARI non-specific
Clinical evaluation of ampicillin/sulbactam,Antibiotic vs antibiotic,ARI non-specific
Randomized-controlled study on rufloxacin in comparison with lomefloxacin in the treatment of acute bacterial infections,Antibiotic vs antibiotic,ARI non-specific
[Evaluation of antibacterial activity of amoxycillin sodium and clavulanate potassium and the pharmacoeconomics in the therapy of acute respiratory infection]. [Chinese],Antibiotic vs antibiotic,ARI non-specific
Multicenter randomized controlled clinical study on gatifloxacin versus levofloxacin in the treatment of acute bacterial infections,Antibiotic vs antibiotic,ARI non-specific
Multicenter randomized controlled clinical study of cefdinir and cefteram,Antibiotic vs antibiotic,ARI non-specific
A randomized controlled clinical study of cefetamet pivoxil versus cefixime in the treatment of 99 cases bacterial infections,Antibiotic vs antibiotic,ARI non-specific
"A randomized controlled clinical trial on etimicin, a new aminoglycoside antibiotic, versus netilmicin in the treatment of bacterial infections",Antibiotic vs antibiotic,ARI non-specific
"Piperacillin-sulbactam versus piperacillin-tazobactam: a multicentre, randomised, single-blind, controlled clinical trial",Antibiotic vs antibiotic,ARI non-specific
"A multicenter, randomized controlled clinical study on biapenem and imipenem/cilastatin injection in the treatment of respiratory and urinary tract infections",Antibiotic vs antibiotic,ARI non-specific
Clinical evaluation of cefotiam and cefamandole in respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
[Comparative study of the clinical activity of tetracycline and a combinaton of tetracycline and thiamphenicol in respiratory tract infections. Controlled study of a cooperative type]. [Italian],Antibiotic vs antibiotic,ARI non-specific
A double-blind study comparing cefaclor and amoxycillin in the treatment of respiratory tract infections in general practice,Antibiotic vs antibiotic,ARI non-specific
[A randomized controlled trial of sparfloxacin intravenously vs ofloxacin intravenously in the treatment of the acute respiratory infections],Antibiotic vs antibiotic,ARI non-specific
Influence of amoxycillin and cefaclor on the colonization resistance of oropharynx,Antibiotic vs antibiotic,ARI non-specific
"Open comparative, randomised clinical trial of co-trimoxazole and co-trimazine in E.N.T. infections",Antibiotic vs antibiotic,ARI non-specific
Comparison of once-daily and twice-daily cefixime regimens with amoxicillin in the treatment of acute upper respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Comparative efficacy and safety of roxithromycin and clarithromycin in upper respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
[Efficacy and tolerability of cefuroxime-axetil in infections of the upper respiratory tract. Comparative study with cefadroxil]. [French],Antibiotic vs antibiotic,ARI non-specific
Short-course treatment of sinusitis and other upper respiratory tract infections with azithromycin: a comparison with erythromycin and amoxycillin. European Azithromycin Study Group,Antibiotic vs antibiotic,ARI non-specific
"[Efficacy and safety of Sultamicillin (Ampicillin/Sulbactan) and Amoxicillin/Clavulanic acid in the treatment of upper respiratory tract infections in adults--an open-label, multicentric, randomized trial]",Antibiotic vs antibiotic,ARI non-specific
Comparison of 3-day course of azithromycin with penicillin V and amoxicillin+clavulonate in the treatment of upper respiratory tract infections [Turkish],Antibiotic vs antibiotic,ARI non-specific
A comparison of the efficacy and safety of cefuroxime axetil and augmentin in the treatment of upper respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
An open multicentre study to compare the efficacy and safety of sultamicillin with that of cefuroxime axetil in acute ear nose and throat infections in adults,Antibiotic vs antibiotic,ARI non-specific
An open comparative random study with Brodimoprim and doxycyclin in 46 patients affected with upper airway infections,Antibiotic vs antibiotic,ARI non-specific
"An open, multicentre, comparative study of the efficacy and safety of azithromycin and co-amoxiclav in the treatment of upper and lower respiratory tract infections in children. The Paediatric Azithromycin Study Group",Antibiotic vs antibiotic,ARI non-specific
Comparison of azithromycin versus clarithromycin in the treatment of patients with upper respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Comparative study of rufloxacin versus clarithromycin in the short term treatment of patients with otorhinolaryngological infections,Antibiotic vs antibiotic,ARI non-specific
"Comparison of penicillin and trimethoprim-sulfamethoxazole in the treatment of ear, nose and throat infections",Antibiotic vs antibiotic,ARI non-specific
Cefixime versus co-amoxiclav in the treatment of pediatric upper respiratory tract infections and otitis media. A multicenter clinical study of empirical treatment in general practice in the United Kingdom,Antibiotic vs antibiotic,ARI non-specific
Clinical study of indirect pathogenicity in pediatric patients with upper respiratory tract bacterial infection,Antibiotic vs antibiotic,ARI non-specific
Flurithromycin versus clarithromycin in upper respiratory tract infections,Antibiotic vs antibiotic,ARI non-specific
Randomized double-blind study between co-tetroxacine and amoxicilline in common ENT-infections,Antibiotic vs antibiotic,ARI non-specific
[Effectiveness of and tolerance to azithromycin versus roxithromycin in the treatment of patients with acute infections of the upper respiratory tract],Antibiotic vs antibiotic,ARI non-specific
"Cefpodoxime proxetil versus co-amoxiclav in the treatment of acute infections of the ear, nose and throat in children-a multicentre randomized study (abstract 851)",Antibiotic vs antibiotic,ARI non-specific
"A randomized, double-blinded, double-modelling and controlled clinical and bacteriological evaluation of erythromycin cyclic 11, 12-carbonate in the treatment of bacterial infection compared with roxithromycin",Antibiotic vs antibiotic,Bacterial infections
A randomised comparison of isepamicin and amikacin in the treatment of bacterial infections in paediatric patients,Antibiotic vs antibiotic,Bacterial infections
Randomized comparison of once-daily ceftibuten and twice-daily clarithromycin in the treatment of acute exacerbation of chronic bronchitis,Antibiotic vs antibiotic,Bronchiolitis
Loracarbef (LY163892) versus cefaclor in the treatment of acute bacterial bronchitis,Antibiotic vs antibiotic,Bronchiolitis
The treatment of acute bronchitis with trimethoprim and sulfamethoxazole,Antibiotic vs antibiotic,Bronchiolitis
A multicentre study comparing the safety and efficacy of dirithromycin with erythromycin in the treatment of bronchitis,Antibiotic vs antibiotic,Bronchiolitis
Efficacy and safety of short course (5-day) moxifloxacin vs 7-day ceftriaxone in the treatment of acute exacerbations of chronic bronchitis (AECB),Antibiotic vs antibiotic,Bronchiolitis
"Randomized, double-blind study of prulifloxacin versus ciprofloxacin in patients with acute exacerbations of chronic bronchitis",Antibiotic vs antibiotic,Bronchiolitis
Levofloxacin 750 mg QD for five days versus amoxicillin/clavulanate 875 mg/125 mg BID for ten days for treatment of acute bacterial exacerbation of chronic bronchitis: a post hoc analysis of data from severely ill patients,Antibiotic vs antibiotic,Bronchiolitis
Comparative study of cefaclor AF vs. cefuroxime axetil in acute exacerbations of chronic bronchitis,Antibiotic vs antibiotic,Bronchiolitis
A comparison of clarithromycin with ampicillin in the treatment of outpatients with acute bacterial exacerbation of chronic bronchitis,Antibiotic vs antibiotic,Bronchiolitis
Clinical comparison of cefuroxime axetil and amoxicillin/clavulanate in the treatment of patients with secondary bacterial infections of acute bronchitis,Antibiotic vs antibiotic,Bronchiolitis
Comparison of the efficacy and tolerability of short-course cefuroxime axetil and amoxicillin/clavulanic acid in the treatment of secondary bacterial infections of acute bronchitis,Antibiotic vs antibiotic,Bronchiolitis
Clinical and bacteriological efficacy in treatment of acute exacerbations of chronic bronchitis with cefditoren-pivoxil versus cefuroxime-axetil,Antibiotic vs antibiotic,Bronchiolitis
[Ambulatory treatment with cefuroxime-axetil of infectious bronchitis in patients sixty years of age or older: comparative study of the combination of amoxicillin and clavulanic acid]. [French],Antibiotic vs antibiotic,Bronchiolitis
A comparison of cefaclor and tetracycline in the treatment of bacterial bronchitis,Antibiotic vs antibiotic,Bronchiolitis
Co-trimoxazole versus cefaclor in acute on chronic bronchitis.,Antibiotic vs antibiotic,Bronchiolitis
"Efficacy and tolerability of myrtol standardized in acute bronchitis. A multi-centre, randomised, double-blind, placebo-controlled parallel group clinical trial vs. cefuroxime and ambroxol",Antibiotic vs antibiotic,Bronchiolitis
Clinical comparison of cefuroxime axetil with cefixime in the treatment of acute bronchitis,Antibiotic vs antibiotic,Bronchiolitis
A single-blind comparative clinical trial of lymecycline and amoxycillin in the treatment of acute bronchitis in general practice,Antibiotic vs antibiotic,Bronchiolitis
