Title,Intervention,Health condition
Antihistamines for the common cold,Antihistamine,Common cold
Oral antihistamine-decongestant-analgesic combinations for the common cold,Antihistamine,Common cold
Nasal decongestants for the common cold,Antitussive,Common cold
Chinese medicinal herbs for the common cold,CAM,Common cold
Echinacea for preventing and treating the common cold,CAM,Common cold
Garlic for the common cold,CAM,Common cold
Corticosteroids for the common cold,Corticosteroid,Common cold
"Heated, humidified air for the common cold",Humidification,Common cold
Non-steroidal anti-inflammatory drugs for the common cold,NSAID,Common cold
Acetaminophen (paracetamol) for the common cold in adults,Paracetamol,Common cold
Vaccines for the common cold,Vaccination,Common cold
Vitamin C for preventing and treating the common cold,Vitamin C,Common cold
Zinc for the common cold,Zinc,Common cold
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Antihistamine,Cough
Symptomatic treatment of the cough in whooping cough,Antihistamine,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Antitussive,Cough
Over-the-counter (OTC) medications to reduce cough as an adjunct to antibiotics for acute pneumonia in children and adults,Antitussive,Cough
Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,Bronchodilator,Cough
Honey for acute cough in children,CAM,Cough
Symptomatic treatment of the cough in whooping cough,Immunoglobulin,Cough
Symptomatic treatment of the cough in whooping cough,NSAID,Cough
Nebulized epinephrine for croup in children,Adrenaline,Croup
Glucocorticoids for croup,Corticosteroid,Croup
Heliox for croup in children,Heliox,Croup
"Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)",Vaccination,Croup
"Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B",Vaccination,Diptheria
"Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)",Vaccination,Diptheria
Surgical versus non-surgical management for pleural empyema,Surgery,Empyema
"Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B",Vaccination,Hepatitis
"Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)",Vaccination,Hepatitis
Acyclovir for treating varicella in otherwise healthy children and adolescents,Antiviral,Herpes zoster
Antiviral prophylaxis for varicella zoster in immunocompromised patients (excluding haematological malignancies),Antiviral,Herpes zoster
Vaccines for post-exposure prophylaxis against varicella (chickenpox) in children and adults,Vaccination,Herpes zoster
Vaccines for preventing herpes zoster in older adults,Vaccination,Herpes zoster
Steroids for symptom control in infectious mononucleosis,Corticosteroid,Infectious mononucleosis
Amantadine and rimantadine for influenza A in adults,Antiviral,Influenza
Amantadine and rimantadine for influenza A in children and the elderly,Antiviral,Influenza
Neuraminidase inhibitors for preventing and treating influenza in children (published trials only),Antiviral,Influenza
Neuraminidase inhibitors for preventing and treating influenza in healthy adults and children,Antiviral,Influenza
Chinese medicinal herbs for influenza,CAM,Influenza
Homeopathic Oscillococcinum¨ for preventing and treating influenza and influenza-like illness,CAM,Influenza
Corticosteroids as adjunctive therapy in the treatment of influenza,Corticosteroid,Influenza
Statins for influenza and pneumonia,Statins,Influenza
Conjugate vaccines for preventing Haemophilus influenzae type b infections in children under 5 years of age,Vaccination,Influenza
Influenza vaccination for healthcare workers who care for people aged 60 or older living in long-term care institutions,Vaccination,Influenza
Interventions to increase influenza vaccination rates of those 60 years and older in the community,Vaccination,Influenza
Vaccines for preventing influenza in healthy adults,Vaccination,Influenza
Vaccines for preventing influenza in healthy children,Vaccination,Influenza
Vaccines for preventing influenza in the elderly,Vaccination,Influenza
Antibiotics for preventing complications in children with measles,Antibiotic vs placebo,Measles
Chinese medicinal herbs for measles,CAM,Measles
Post-exposure passive immunisation for preventing measles,Vaccination,Measles
"Vaccines for measles, mumps and rubella in children",Vaccination,Measles
Routine vitamin A supplementation for the prevention of blindness due to measles infection in children,Vitamin A,Measles
Vitamin A for treating measles in children,Vitamin A,Measles
Third generation cephalosporins versus conventional antibiotics for treating acute bacterial meningitis,Antibiotic vs antibiotic,Meningitis
Antibiotic prophylaxis for preventing meningitis in patients with basilar skull fractures,Antibiotic vs placebo,Meningitis
Antibiotics for preventing meningococcal infections,Antibiotic vs placebo,Meningitis
Pre-admission antibiotics for suspected cases of meningococcal disease,Antibiotic vs placebo,Meningitis
Anti-cytokine and anti-endotoxin therapies for meningococcal disease,Anticytokine,Meningitis
Corticosteroids for acute bacterial meningitis,Corticosteroid,Meningitis
Corticosteroids for parasitic eosinophilic meningitis,Corticosteroid,Meningitis
Fluid therapy for acute bacterial meningitis,Fluid therapy,Meningitis
Osmotic therapies added to antibiotics for acute bacterial meningitis,Glycerol,Meningitis
Polysaccharide vaccines for preventing serogroup A meningococcal meningitis,Vaccination,Meningitis
Acupuncture for mumps in children,Acupuncture,Mumps
Chinese medicinal herbs for mumps,CAM,Mumps
"Vaccines for measles, mumps and rubella in children",Vaccination,Mumps
Antibiotics for acute otitis media in children,Antibiotic vs placebo,Otitis media
Antibiotics for the prevention of acute and chronic suppurative otitis media in children,Antibiotic vs placebo,Otitis media
Once or twice daily versus three times daily amoxicillin with or without clavulanate for the treatment of acute otitis media,Antibiotic vs placebo,Otitis media
Short-course antibiotics for acute otitis media,Antibiotic vs placebo,Otitis media
Topical analgesia for acute otitis media,Topical analgesia,Otitis media
Influenza vaccines for preventing acute otitis media in infants and children,Vaccination,Otitis media
Pneumococcal conjugate vaccines for preventing otitis media,Vaccination,Otitis media
Xylitol for preventing acute otitis media in children up to 12 years of age,Xylitol,Otitis media
Zinc supplements for preventing otitis media,Zinc,Otitis media
Antibiotics for whooping cough (pertussis),Antibiotic vs placebo,Pertussis
Acellular vaccines for preventing whooping cough in children,Vaccination,Pertussis
"Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B",Vaccination,Pertussis
"Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)",Vaccination,Pertussis
Vaccination in pregnancy to prevent pertussis in early infancy,Vaccination,Pertussis
Antibiotics for acute laryngitis in adults,Antibiotic vs placebo,Pharyngitis
Antibiotics for sore throat,Antibiotic vs placebo,Pharyngitis
Different antibiotic treatments for group A streptococcal pharyngitis,Antibiotic vs placebo,Pharyngitis
Short-term late-generation antibiotics versus longer term penicillin for acute streptococcal pharyngitis in children,Antibiotic vs placebo,Pharyngitis
Chinese medicinal herbs for sore throat,CAM,Pharyngitis
Corticosteroids as standalone or add-on treatment for sore throat,Corticosteroid,Pharyngitis
Rapid antigen detection test for group A streptococcus in children with pharyngitis,Diagnostic test,Pharyngitis
Pneumococcal conjugate vaccines for preventing vaccine-type invasive pneumococcal disease and X-ray defined pneumonia in children less than two years of age,Vaccination,Pneumococcus
Vaccines for preventing pneumococcal infection in adults,Vaccination,Pneumococcus
Short-course versus prolonged-course antibiotic therapy for hospital-acquired pneumonia in critically ill adults,Antibiotic vs placebo,Pneumonia
Antibiotic therapy versus no antibiotic therapy for children aged two to 59 months with WHO-defined non-severe pneumonia and wheeze,Antibiotic vs placebo,Pneumonia
Antibiotics for community-acquired lower respiratory tract infections secondary to Mycoplasma pneumoniae in children,Antibiotic vs placebo,Pneumonia
Antibiotics for community-acquired pneumonia in adult outpatients,Antibiotic vs placebo,Pneumonia
Antibiotics for community-acquired pneumonia in children,Antibiotic vs placebo,Pneumonia
Antibiotics for ventilator-associated pneumonia,Antibiotic vs placebo,Pneumonia
Empiric antibiotic coverage of atypical pathogens for community-acquired pneumonia in hospitalized adults,Antibiotic vs placebo,Pneumonia
Oral antibiotics versus parenteral antibiotics for severe pneumonia in children,Antibiotic vs placebo,Pneumonia
Short-course versus long-course antibiotic therapy for non-severe community-acquired pneumonia in children aged 2 months to 59 months,Antibiotic vs placebo,Pneumonia
Short-course versus long-course intravenous therapy of the same antibiotic for severe community-acquired pneumonia in children aged two months to 59 months,Antibiotic vs placebo,Pneumonia
Short-course versus long-course therapy of the same antibiotic for community-acquired pneumonia in adolescent and adult outpatients,Antibiotic vs placebo,Pneumonia
Corticosteroids for pneumonia,Corticosteroid,Pneumonia
Clinical symptoms and signs for the diagnosis of Mycoplasma pneumoniae in children and adolescents with community-acquired pneumonia,Diagnostic test,Pneumonia
Quantitative versus qualitative cultures of respiratory secretions for clinical outcomes in patients with ventilator-associated pneumonia,Diagnostic test,Pneumonia
Granulocyte-Colony Stimulating Factor (G-CSF) as an adjunct to antibiotics in the treatment of pneumonia in adults,Immunostimulant,Pneumonia
Oxygen therapy for pneumonia in adults,Oxygen therapy,Pneumonia
Chest physiotherapy for pneumonia in adults,Physiotherapy,Pneumonia
Chest physiotherapy for pneumonia in children,Physiotherapy,Pneumonia
Semi-recumbent position versus supine position for the prevention of ventilator-associated pneumonia in adults requiring mechanical ventilation,Positioning,Pneumonia
Probiotics for preventing ventilator-associated pneumonia,Probiotic,Pneumonia
Pneumococcal conjugate vaccines for preventing vaccine-type invasive pneumococcal disease and X-ray defined pneumonia in children less than two years of age,Vaccination,Pneumonia
Vitamin A for non-measles pneumonia in children,Vitamin A,Pneumonia
Vitamin C for preventing and treating pneumonia,Vitamin C,Pneumonia
Zinc supplementation as an adjunct to antibiotics in the treatment of pneumonia in children 2 to 59 months of age,Zinc,Pneumonia
Zinc supplementation for the prevention of pneumonia in children aged 2 months to 59 months,Zinc,Pneumonia
Continuous negative extrathoracic pressure or continuous positive airway pressure compared to conventional ventilation for acute hypoxaemic respiratory failure in children,CPAP,Respiratory failure
Positioning for acute respiratory distress in hospitalised infants and children,Positioning,Respiratory failure
Immunoglobulin treatment for respiratory syncytial virus infection,Immunoglobulin,RSV
Monoclonal antibody for reducing the risk of respiratory syncytial virus infection in children,Monoclonal antibody,RSV
Post-exposure passive immunisation for preventing rubella and congenital rubella syndrome,Vaccination,Rubella
"Vaccines for measles, mumps and rubella in children",Vaccination,Rubella
Chinese herbs combined with Western medicine for severe acute respiratory syndrome (SARS),CAM,SARS
*Antibiotics for acute maxillary sinusitis in adults,Antibiotic vs placebo,Sinusitis
"Decongestants, antihistamines and nasal irrigation for acute sinusitis in children",Antihistamine,Sinusitis
"Decongestants, antihistamines and nasal irrigation for acute sinusitis in children",Antitussive,Sinusitis
Intranasal steroids for acute sinusitis,Corticosteroid,Sinusitis
Systemic corticosteroids for acute sinusitis,Corticosteroid,Sinusitis
"Decongestants, antihistamines and nasal irrigation for acute sinusitis in children",Nasal irrigation,Sinusitis
"Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B",Vaccination,Tetanus
"Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)",Vaccination,Tetanus
