Title,Intervention,Health condition,,,,,,,,,,
Impact of Haemophilus influenzae type b polysaccharide-tetanus protein conjugate vaccine on responses to concurrently administered Diptheria-tetanus-pertussis vaccine. [see comments.],Vaccination,Influenza,,,,,,,,,,
A clinical comparative study of piperacillin and sulbactam/ampicillin in patients with community-acquired bacterial pneumonia,Antibiotics,CAP,,,,,,,,,,
Resolving the pneumococcal vaccine controversy: are there alternatives to randomized clinical trials?,Vaccination,Pneumococcal,,,,,,,,,,
"A comparison of the efficacy, tolerability and safety of azithromycin and co-amoxiclav in the treatment of sinusitis in adults",Antibiotics,Sinusitis,,,,,,,,,,
Influenza A vaccine decreases the incidence of otitis media in 6- to 30-month-old children in day care. [see comments.],Vaccination,Otitis Media,,,,,,,,,,
Antibody response of 18 month old children 1 month and 18 months following Haemophilus influenzae type b vaccine administered singly or with DTP vaccine,Vaccination, HIB,,,,,,,,,,
Advantage of live attenuated cold-adapted influenza A virus over inactivated vaccine for A/Washington/80 (H3N2) wild-type virus infection,Vaccination,Influenza,,,,,,,,,,
Effective immunization with live attenuated influenza A virus can be achieved in early infancy. Pediatric Care Center,Vaccination,Influenza,,,,,,,,,,
Comparison of the virologic and immunologic responses of volunteers to live avian-human influenza A H3N2 reassortant virus vaccines derived from two different avian influenza virus donors,Vaccination,Influenza,,,,,,,,,,
Recurrent respiratory infections in children: Prevention of acute Episodes by oral administration of thymomodulin,Thymomodulin,ARI,,,,,,,,,,
Double-blind comparative trial of ciprofloxacin versus clarithromycin in the treatment of acute bacterial sinusitis. Sinusitis Infection Study Group,Antibiotic vs antibiotic,Sinusitis,,,,,,,,,,
Treatment of acute infections of the respiratory tract. The cytiolone-ampicillin relationship: A study of therapeutic effectiveness and tolerability,Antibiotics,ARI,,,,,,,,,,
[The use of sinupret in the combined treatment of acute otitis media in children],Herbal,Otitis Media,,,,,,,,,,
Comparison of heterotypic protection against influenza A/Taiwan/86 (H1N1) by attenuated and inactivated vaccines to A/Chile/83-like viruses,Vaccination,Influenza,,,,,,,,,,
Effectiveness of rimantadine prophylaxis of children within families,Antiviral,Influenza,,Further investigation was required,,,,,,,,
Effect of rimantadine on the immune response to influenza A infections,Antiviral,Influenza,,,,,,,,,,
[Effect of Lactobacillus casei on the incidence of infectious conditions in children],Probiotics,ARI,,Further investigation was required,,,,,,,,
Prevention of infection in critically ill patients by selective decontamination of the digestive tract. [see comments.],antibiotics,VAP ,,,,,,,,,,
Cefatrizine therapy in respiratory infections: Clinical activity and effects on secretory IgAs,Antibiotics,ARI,,,,,,,,,,
"Comparative clinical and laboratory evaluation of the prophylactic capacity of ribavirin, amantadine hydrochloride, and placebo in induced human influenza type A",Antiviral,Influenza,,,,,,,,,,
Clinical correlants of changes in nasal flow/resistance (Rn) measurements,Nasal decongestant,common cold,,,,,,,,,,
Acute aromatics inhalation modifies the airways. Effects of the common cold,Aromatic inhalation,Common cold,,,,,,,,,,
Respiratory and cough mechanics in antitussive trials. Responsivity of objective indices to the treatment of acute upper respiratory tract infections,Antitussive,URTI,,,,,,,,,,
Double-blind vaccine-controlled randomised efficacy trial of an investigational Shigella sonnei conjugate vaccine in young adults,Vaccination,Shigella,,,,,,,,,,
"Effectiveness of an herbal preparation containing echinacea, propolis, and vitamin C in preventing respiratory tract infections in children: a randomized, double-blind, placebo-controlled, multicenter study",Vitamin C,ARI,,,,,,,,,,
"Effectiveness of an herbal preparation containing echinacea, propolis, and vitamin C in preventing respiratory tract infections in children: a randomized, double-blind, placebo-controlled, multicenter study",Vitamin C,ARI,,,,,,,,,,
"Effectiveness of an herbal preparation containing echinacea, propolis, and vitamin C in preventing respiratory tract infections in children: a randomized, double-blind, placebo-controlled, multicenter study",Herbal,ARI,,,,,,,,,,
Influenza vaccination in an occupational setting: effectiveness and cost-benefit study,Vaccination,Influenza,,,,,,,,,,
Change in nasopharyngeal carriage of Streptococcus pneumoniae resulting from antibiotic therapy for acute otitis media in children,Antibiotics,Otitis Media,,,,,,,,,,
[Prevention of acute otitis media. Amoxicillin versus glycoproteins from Klebsiella pneumoniae. Study in children under 5 years of age],Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
[Cefpodoxime proxetil vs cefixime for painful febrile acute otitis media in children],Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
[Cefaclor versus penicillin V in staphylococcal infections in children]. [French],Antibiotic vs antibiotic,ARI,,,,,,,,,,
 [Cefpodoxime proxetil vx cefixime for painful febrile acute otitis media in children],Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
A live attenuated H7N3 influenza virus vaccine is well tolerated and immunogenic in a Phase I trial in healthy adults,Vaccination,Influenza,,,,,,,,,,
Five vs. ten days of antibiotic therapy for acute otitis media in young children. [see comments.],Antibiotics,Otitis Media,,,,,,,,,,
"A multicenter, randomized, double-blind trial of 5 versus 10 days of antibiotic therapy for acute otitis media in young children",Antibiotics,Otitis Media,,,,,,,,,,
Six-day amoxicillin vs. ten-day penicillin V therapy for group A streptococcal tonsillopharyngitis,Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
One dose ceftriaxone vs. ten days of amoxicillin/clavulanate therapy for acute otitis media: clinical efficacy and change in nasopharyngeal flora,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
The efficacy and safety of isepamicin and ceftazidime compared with amikacin and ceftazidime in acute lower respiratory tract infection,Antibiotics,LRTI,,,,,,,,,,
Intravenous meropenem versus imipenem/cilastatin in the treatment of serious bacterial infections in hospitalized patients. Meropenem Serious Infection Study Group,Antibiotics,ARI,,,,,,,,,,
Community and international nutrition: Vitamin A supplementation at birth delays pneumococcal colonization in South Indian infants,Vitamin A,Pneumococcal,,,,,,,,,,
Infectious etiology modifies the treatment effect of zinc in severe pneumonia,Zinc,Pneumonia,,,,,,,,,,
Zinc modifies the association between nasopharyngeal Streptococcus pneumoniae carriage and risk of acute lower respiratory infection among young children in rural Nepal,Zinc,LRTI,,,,,,,,,,
A comparative study of clarithromycin and amoxycillin suspensions in the treatment of pediatric patients with acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Efficacy and safety of tigecycline versus levofloxacin for community-acquired pneumonia,Antibiotic vs antibiotic,CAP,,,,,,,,,,
Immunomodulators and primary prevention of respiratory infections: methodological considerations,Primary prevention,ARI,,,,,,,,,,
Immunomodulators and primary prevention of respiratory infections: methodological considerations,Immunomodulator,ARI,,,,,,,,,,
Stimulation of nonspecific immunity to reduce the risk of recurrent infections in children attending day-care centers. The Epicreche Research Group,Immune Stimuation,ARI,,,,,,,,,,
"Immunogenicity and safety of a low-dose Diptheria, tetanus and acellular pertussis combination vaccine with either inactivated or oral polio vaccine as a pre-school booster in UK children",Vaccination,Diptheria,,,,,,,,,,
"Immunogenicity and safety of a low-dose Diptheria, tetanus and acellular pertussis combination vaccine with either inactivated or oral polio vaccine as a pre-school booster in UK children",Vaccination,Pertussis,,,,,,,,,,
Role of steroids in the treatment of infectious mononucleosis in the ambulatory college student,Corticosteroids,Infectious mononucleosis,,,,,,,,,,
Influenza vaccine in healthy preschool children,Vaccination,Influenza,,,,,,,,,,
A multi-centre trial comparing a sulfamethopyrazine/trimethoprim combination with co-trimoxazole in respiratory tract infections,Antibiotics,ARI,,,,,,,,,,
Impact of piperacillin resistance on the outcome of Pseudomonas ventilator-associated pneumonia,Antibiotics,VAP,,,,,,,,,,
Early predictors for infection recurrence and death in patients with ventilator-associated pneumonia,Antibiotics,VAP,,,,,,,,,,
"Nosocomial pneumonia in mechanically ventilated patients, a prospective randomised evaluation of the Stericath closed suctioning system",Stericath closed suctioning,HAP,,,,,,,,,,
Home oxygen for children with acute bronchiolitis.[see comment],Oxygen,Bronchiolitis,,,,,,,,,,
Prospective randomized comparison of imipenem monotherapy with imipenem plus netilmicin for treatment of severe infections in nonneutropenic patients,Antibiotics,ARI,,,,,,,,,,
Ceftazidime versus tobramycin-ticarcillin in the treatment of pneumonia and bacteremia,Antibiotic vs antibiotic,Pneumonia,,,,,,,,,,
Acute respiratory failure in patients with severe community-acquired pneumonia. A prospective randomized evaluation of noninvasive ventilation. [see comments.],Ventilation,CAP,,,,,,,,,,
Hydrocortisone infusion for severe community-acquired pneumonia: a preliminary randomized study,Corticosteroids,CAP,,,,,,,,,,
Comparison of ceftriaxone and traditional therapy of bacterial meningitis,Antibiotics,Meningitis,,,,,,,,,,
Immunogenicity of trivalent subunit versus virosome-formulated influenza vaccines in geriatric patients,Vaccination,Influenza,,,,,,,,,,
Effectiveness of topical nasal decongestants,Nasal decongestant,Common cold,,,,,,,,,,
A double blind trial of prednisolone in epidemic bronchiolitis due to respiratory syncytial virus,Corticosteroids,RSV,,,,,,,,,,
"A randomized, controlled trial of nebulized terbutaline for the first acute bronchiolitis in infants less than 12-months-old",Bronchodilator,Bronchiolitis,,,,,,,,,,
[A comparative study of 3 different types of trivalent measles-mumps-rubella vaccine]. [Italian],Vaccination,Mumps,,,,,,,,,,
[A comparative study of 3 different types of trivalent measles-mumps-rubella vaccine]. [Italian],Vaccination,Rubella,,,,,,,,,,
[A comparative study of 3 different types of trivalent measles-mumps-rubella vaccine]. [Italian],Vaccination,Measles,,,,,,,,,,
"[Comparative, randomized, parallel clinical study of the effectiveness and safety of aceclofenac vs. paracetamol in the treatment of viral pharyngoamygdalitis]. [Spanish]",Paracetamol,Laryngitis,,,,,,,,,,
"[Comparative, randomized, parallel clinical study of the effectiveness and safety of aceclofenac vs. paracetamol in the treatment of viral pharyngoamygdalitis]. [Spanish]",NSAID,Laryngitis,,,,,,,,,,
Immunisation of the preterm baby. [see comments.],Vaccination,Non-specific disease,,,,,,,,,,
Immunisation of the preterm baby,Vaccination,Non-specific disease,,,,,,,,,,
Stress ulcer prophylaxis in critically ill patients. Resolving discordant meta-analyses [see comments],Stress ulcer prophylaxis,Pneumonia,,Further investigation was required,,,,,,,,
"Comparative reactogenicity and parental acceptability of pertussis vaccines administered into the ventrogluteal area and anterolateral thigh in children aged 2, 4, 6 and 18 months",Vaccination,Pertussis,,,,,,,,,,
Reactogenicity and immunogenicity of an inactivated influenza vaccine administered by intramuscular or subcutaneous injection in elderly adults,Vaccination,Influenza,,,,,,,,,,
Comparative reactogenicity and immunogenicity of 23 valent pneumococcal vaccine administered by intramuscular or subcutaneous injection in elderly adults,Vaccination,Pneumococcal,,,,,,,,,,
Efficacy of twice-daily amoxycillin/clavulanate ('Augmentin-Duo' 400/57) in mild to moderate lower respiratory tract infection in children,Antibiotics,LRTI,,,,,,,,,,
Benefits of increasing the dose of influenza vaccine in residents of long-term care facilities: a randomized placebo-controlled trial,Vaccination,Influenza,,,,,,,,,,
Effect of reduced-dose schedules with 7-valent pneumococcal conjugate vaccine on nasopharyngeal pneumococcal carriage in children: a randomized controlled trial,Vaccination,Pneumococcal,,,,,,,,,,
Influenza vaccination with 1/10th the full dose,Vaccination,Influenza,,,,,,,,,,
Safety and immunogenicity of CPG 7909 injection as an adjuvant to Fluarix influenza vaccine,Vaccination,Influenza,,,,,,,,,,
A comparison of oral cefuroxime axetil and oral amoxycillin in lower respiratory tract infections,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
"Comparative study of anti-pseudomonas activity of azlocillin, mezlocillin, and ticarcillin",Antibiotic vs antibiotic,Psuedomonas,,,,,,,,,,
Anti-haemophilus influenzae type B (Hib) vaccine after allogeneic BMT: a randomized study between capsular polysaccharide and tetanus toxoid conjugate vaccines [abstract],Vaccination, HIB,,,,,,,,,,
Randomized study of early versus late immunization with pneumococcal conjugate vaccine after allogeneic stem cell transplantation,Vaccination,Pneumococcal,,,,,,,,,,
Radiographic tracheal diameter measurements in acute infectious croup: an objective scoring system,Radiography,Croup,,,,,,,,,,
"A multicenter, randomized, controlled trial of dexamethasone for bronchiolitis.[see comment]",Corticosteroids,Bronchiolitis,,,,,,,,,,
[Controlled clinical trial and homeopathic treatment of ORL and recurrent respiratory tract infections in children: preliminary survey of homeopathic physicians]. [French],Homeopathy,ARI,,,,,,,,,,
[Comparative study of the combination trimethoprim-sulfamethopyrazine and amoxicillin in acute maxillary sinusitis],Antibiotics,Sinusitis,,,,,,,,,,
Safety and efficacy of intravenous tigecycline in treatment of community-acquired pneumonia: results from a double-blind randomized phase 3 comparison study with levofloxacin,Antibiotics,CAP,,,,,,,,,,
[Viferon efficacy in influenza in adult patients],Antiviral,Influenza,,,,,,,,,,
"Randomized, open-label, parallel-group, multicenter study of the efficacy and tolerability of IV gatifloxacin with the option for oral stepdown gatifloxacin versus IV ceftriaxone (with or without erythromycin or clarithromycin) with the option for oral stepdown clarithromycin for treatment of patients with mild to moderate community-acquired pneumonia requiring hospitalization",Antibiotics,CAP,,Further investigation was required,,,,,,,,
[Administration of nebulized salbutamol versus placebo in infants with bronchiolitis],Bronchodilator,Bronchiolitis,,,,,,,,,,
Efficacy of purified influenza subunit vaccines and relation to the major antigenic determinants on the hemagglutinin molecule,Vaccination,Influenza,,,,,,,,,,
Vitamin C and acute illness in Navajo school children,Vitamin C,ARI,,,,,,,,,,
Vitamin C prophylaxis in a boarding school,Vitamin C,ARI,,,,,,,,,,
Immunogenicity of a Haemophilus influenzae type b vaccine in combination with Diptheria-pertussis-tetanus vaccine in infants,Vaccination,Diptheria,,,,,,,,,,
Immunogenicity of a Haemophilus influenzae type b vaccine in combination with Diptheria-pertussis-tetanus vaccine in infants,Vaccination,Pertussis,,,,,,,,,,
Immunogenicity of a Haemophilus influenzae type b vaccine in combination with Diptheria-pertussis-tetanus vaccine in infants,Vaccination,Tetanus,,,,,,,,,,
Immunogenicity of a Haemophilus influenzae type b vaccine in combination with Diptheria-pertussis-tetanus vaccine in infants,Vaccination, HIB,,,,,,,,,,
Effect of vitamin A supplementation on morbidity of low-birth-weight neonates,Vitamin A,ARI,,,,,,,,,,
"Vitamin A supplementation reduces measles morbidity in young African children: a randomized, placebo-controlled, double-blind trial",Vitamin A,Measles,,,,,,,,,,
Micronutrient utilisation during measles treated with vitamin A or placebo,Micronutrients,Measles,,,,,,,,,,
Effect of micronutrients on morbidity and duration of hospital stay in childhood pneumonia,Micronutrients,Pneumonia,,,,,,,,,,
Vitamin A supplementation enhances specific IgG antibody levels and total lymphocyte numbers while improving morbidity in measles,Vitamin A,Measles,,,,,,,,,,
Comparison of the efficacy and safety of isepamicin and amikacin in the treatment of acute lower respiratory tract infections caused by gram-negative organisms,Antibiotics,LRTI,,,,,,,,,,
Anithistaminic agents and ascorbic acid in the early treatment of the common cold,Vitamin C,Common cold,,,,,,,,,,
Anithistaminic agents and ascorbic acid in the early treatment of the common cold,Antihistamine,Common cold,,,,,,,,,,
Vitamins for the prevention of colds,Vitamins,Common cold,,,,,,,,,,
Valtrex therapy for Epstein-Barr virus reactivation and upper respiratory symptoms in elite runners,Antiviral,EBV,,,,,,,,,,
Valtrex therapy for Epstein-Barr virus reactivation and upper respiratory symptoms in elite runners,Antiviral,URTI,,,,,,,,,,
Rifampin prophylaxis for contacts of Haemophilus influenzae type b disease,Antibiotics, HIB,,,,,,,,,,
A phase I clinical trial of a PER.C6 cell grown influenza H7 virus vaccine,Vaccination,Influenza,,,,,,,,,,
Clinicopharmacological evaluation of amoxicillin and probenecid against bacterial meningitis,Probenecid,Meningitis,,,,,,,,,,
Clinicopharmacological evaluation of amoxicillin and probenecid against bacterial meningitis,Antibiotics,Meningitis,,,,,,,,,,
Rimantadine prophylaxis in children: a follow-up study,Antiviral,Influenza,,Further investigation was required,,,,,,,,
Azithromycin versus cefaclor in the treatment of pediatric patients with acute group A beta-hemolytic streptococcal tonsillopharyngitis. [see comments.],Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Effectiveness of amoxicillin/clavulanate potassium in the treatment of acute bacterial sinusitis in children,Antibiotics,Sinusitis,,,,,,,,,,
Administration of live attenuated varicella vaccine to children with cancer before starting chemotherapy,Vaccination,Varicella zoster,,,,,,,,,,
Empiric monotherapy versus combination therapy of nosocomial pneumonia in trauma patients,Antibiotics,HAP,,Further investigation was required,,,,,,,,
Testing the feasibility and initial effects of iron and vitamin C to enhance nursing home residents' immune status following an influenza vaccine,Vitamin C,Influenza,,,,,,,,,,
Testing the feasibility and initial effects of iron and vitamin C to enhance nursing home residents' immune status following an influenza vaccine,Vitamin A,Influenza,,,,,,,,,,
Testing the feasibility and initial effects of iron and vitamin C to enhance nursing home residents' immune status following an influenza vaccine,Vaccination,Influenza,,,,,,,,,,
Ampicillin plus mecillinam vs. cefotaxime/cefadroxil treatment of patients with severe pneumonia or pyelonephritis: a double-blind multicentre study evaluated by intention-to-treat analysis,Antibiotic vs antibiotic,Pneumonia,,,,,,,,,,
A controlled study of the effect of oral penicillin G in the treatment of non-specific upper respiratory infections,Antibiotics,URTI,,,,,,,,,,
Phase I study of detoxified Escherichia coli J5 lipopolysaccharide (J5dLPS)/group B meningococcal outer membrane protein (OMP) complex vaccine in human subjects,Vaccination,E coli,,,,,,,,,,
Phase I study of detoxified Escherichia coli J5 lipopolysaccharide (J5dLPS)/group B meningococcal outer membrane protein (OMP) complex vaccine in human subjects,Vaccination,Meningococcal,,,,,,,,,,
Clinical trial examining effectiveness of three cough syrups. [see comments.],Antitussive,Cough,,,,,,,,,,
Reactogenicity and immunogenicity of a new combined measles-mumps-rubella vaccine: results of a multicentre trial. The Cooperative Group for the Study of MMR vaccines,Vaccination,Rubella,,,,,,,,,,
Reactogenicity and immunogenicity of a new combined measles-mumps-rubella vaccine: results of a multicentre trial. The Cooperative Group for the Study of MMR vaccines,Vaccination,Mumps,,,,,,,,,,
Reactogenicity and immunogenicity of a new combined measles-mumps-rubella vaccine: results of a multicentre trial. The Cooperative Group for the Study of MMR vaccines,Vaccination,Measles,,,,,,,,,,
"The effect of smoking on influenza, influenza vaccination efficacy and on the antibody response to influenza vaccination",Smoking,Influenza,,,,,,,,,,
Catch-up primary vaccination with acellular pertussis vaccines in 3-4-year-old children--reactogenicity and serological response,Vaccination,Pertussis,,,,,,,,,,
The effectiveness of antihistamines in the common cold,Antihistamine,Common cold,,,,,,,,,,
Use of dexamethasone in the outpatient management of acute laryngotracheitis,Corticosteroids,Laryngitis,,,,,,,,,,
Immunoprophylaxis against bacterial infection in the intensive-care unit,Immunoprophylaxis,ARI,,,,,,,,,,
"Oral prednisolone in the acute management of children age 6 to 35 months with viral respiratory infection-induced lower airway disease: a randomized, placebo-controlled trial",Corticosteroids,ARI,,,,,,,,,,
Efficacy of endonasal neomycin-tixocortol pivalate irrigation in the treatment of chronic allergic and bacterial sinusitis,Nasal irrigation,Sinusitis,,,,,,,,,,
Eradication of nasopharyngeal carriage of Neisseria meningitidis in children and adults in rural Africa: a comparison of ciprofloxacin and rifampicin,Antibiotic vs antibiotic,Meningitis,,,,,,,,,,
A randomized controlled clinical trial of flomoxef and cefmetazole in the treatment of bacterial infections,Antibiotics,ARI,,Further investigation was required,,,,,,,,
Randomized controlled trial of interferon in the treatment of mumps,Interferon,Mumps,,,,,,,,,,
Cough and the common cold,decongestant,Common cold,,,,,,,,,,
Cough and the common cold,Antihistamine,common cold,,,,,,,,,,
Efficacy of cephalexin two vs. three times daily vs. cefadroxil once daily for streptococcal tonsillopharyngitis,Antibiotics,Pharyngitis,,,,,,,,,,
A double-blind randomised placebo-controlled trial of topical intranasal corticosteroids in 4- to 11-year-old children with persistent bilateral otitis media with effusion in primary care,Corticosteroids,Otitis Media,,,,,,,,,,
Cough and cold remedies: a potential danger to patients on monoamine oxidase inhibitors,MAO-I,Common cold,,,,,,,,,,
Cough and cold remedies: a potential danger to patients on monoamine oxidase inhibitors,MAO-I,cough,,,,,,,,,,
"Efficacy of nine-valent pneumococcal conjugate vaccine against pneumonia and invasive pneumococcal disease in The Gambia: randomised, double-blind, placebo-controlled trial",Vaccination,Pneumococcal,,,,,,,,,,
"Efficacy of nine-valent pneumococcal conjugate vaccine against pneumonia and invasive pneumococcal disease in The Gambia: randomised, double-blind, placebo-controlled trial",Vaccination,Pneumonia,,,,,,,,,,
"Immunogenicity of high-titre AIK-C or Edmonston-Zagreb vaccines in 3.5-month-old infants, and of medium- or high-titre Edmonston-Zagreb vaccine in 6-month-old infants, in Kinshasa, Zaire",Vaccination,Measles,,,,,,,,,,
Double-blind clinical study with broncho-vaxom in the treatment of recurrent acute bronchitis and bronchial asthma,Immunostimulator,Asthma,,,,,,,,,,
Double-blind clinical study with broncho-vaxom in the treatment of recurrent acute bronchitis and bronchial asthma,Immunostimulator,Bronchitis,,,,,,,,,,
A double blind study on the effects of corticosteroids in the treatment of bronchiolitis,Corticosteroids,Bronchiolitis,,,,,,,,,,
Effects of cefixime or co-amoxiclav treatment on nasopharyngeal carriage of Streptococcus pneumoniae and Haemophilus influenzae in children with acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Impaired bacteriologic response to oral cephalosporins in acute otitis media caused by pneumococci with intermediate resistance to penicillin. [see comments.],Antibiotics,Otitis Media,,,,,,,,,,
"Concomitant administration of a virosome-adjuvanted hepatitis a vaccine with routine childhood vaccines at age twelve to fifteen months: a randomized controlled trial.[erratum appears in Pediatr Infect Dis J. 2007 Nov;26(11):1071 Note: Froesner, Gert [corrected to Foresner, Gert]; Schaetzl, Hermann M [corrected to Schatzl, Hermann M]]",Vaccination, hepatitis A,,,,,,,,,,
"Safety and immunogenicity in young infants of Haemophilus b-tetanus protein conjugate vaccine, mixed in the same syringe with Diptheria-tetanus-pertussis-enhanced inactivated poliovirus vaccine",Vaccination,Diptheria,,,,,,,,,,
"Safety and immunogenicity in young infants of Haemophilus b-tetanus protein conjugate vaccine, mixed in the same syringe with Diptheria-tetanus-pertussis-enhanced inactivated poliovirus vaccine",Vaccination,Pertussis,,,,,,,,,,
"Safety and immunogenicity in young infants of Haemophilus b-tetanus protein conjugate vaccine, mixed in the same syringe with Diptheria-tetanus-pertussis-enhanced inactivated poliovirus vaccine",Vaccination, HIB,,,,,,,,,,
Topical intranasal corticosteroids in 4-11 year old children with persistent bilateral otitis media with effusion in primary care: double blind randomised placebo controlled trial,Corticosteroids,Otitis Media,,,,,,,,,,
Effect of a nonavalent conjugate vaccine on carriage of antibiotic-resistant Streptococcus pneumoniae in day-care centers,Vaccination,Pneumonia,,,,,,,,,,
Reduction of antibody response to an 11-valent pneumococcal vaccine coadministered with a vaccine containing acellular pertussis components,Vaccination,Pneumonia,,,,,,,,,,
"Safety and immunogenicity of a combined pentavalent Diptheria, tetanus, acellular pertussis, inactivated poliovirus and Haemophilus influenzae type b-tetanus conjugate vaccine in infants, compared with a whole cell pertussis pentavalent vaccine",Vaccination,Tetanus,,,,,,,,,,
"Safety and immunogenicity of a combined pentavalent Diptheria, tetanus, acellular pertussis, inactivated poliovirus and Haemophilus influenzae type b-tetanus conjugate vaccine in infants, compared with a whole cell pertussis pentavalent vaccine",Vaccination,Pertussis,,,,,,,,,,
"Safety and immunogenicity of a combined pentavalent Diptheria, tetanus, acellular pertussis, inactivated poliovirus and Haemophilus influenzae type b-tetanus conjugate vaccine in infants, compared with a whole cell pertussis pentavalent vaccine",Vaccination,HIB,,,,,,,,,,
"Safety and immunogenicity of a combined pentavalent Diptheria, tetanus, acellular pertussis, inactivated poliovirus and Haemophilus influenzae type b-tetanus conjugate vaccine in infants, compared with a whole cell pertussis pentavalent vaccine",Vaccination,Polio,,,,,,,,,,
"Safety and immunogenicity of a combined pentavalent Diptheria, tetanus, acellular pertussis, inactivated poliovirus and Haemophilus influenzae type b-tetanus conjugate vaccine in infants, compared with a whole cell pertussis pentavalent vaccine",Vaccination, Diptheria,,,,,,,,,,
Reactogenicity and immunogenicity of reduced antigen content Diptheria-tetanus-acellular pertussis vaccines as a booster in 4-7-year-old children primed with Diptheria-tetanus-whole cell pertussis vaccine before 2 years of age,Vaccination,Tetanus,,,,,,,,,,
Reactogenicity and immunogenicity of reduced antigen content Diptheria-tetanus-acellular pertussis vaccines as a booster in 4-7-year-old children primed with Diptheria-tetanus-whole cell pertussis vaccine before 2 years of age,Vaccination,Pertussis,,,,,,,,,,
Reactogenicity and immunogenicity of reduced antigen content Diptheria-tetanus-acellular pertussis vaccines as a booster in 4-7-year-old children primed with Diptheria-tetanus-whole cell pertussis vaccine before 2 years of age,Vaccination, Diptheria,,,,,,,,,,
Bacteriologic and clinical efficacy of amoxicillin/clavulanate vs. azithromycin in acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
